Tỉnh,Trạm,Xã/Phường,Lượng mưa (mm),Tình trạng,Ngày và giờ cập nhật,Thời gian crawl
Tuyên Quang,Yên Nguyên,xã Yên Nguyên,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Xín Chải,xã Lao Chải,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Thượng Giáp,xã Thượng Nông,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Hoàng Khai,phường An Tường,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Hà Lang,xã Tân An,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Nà Chì,xã Khuôn Lùng,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Thanh Tương,xã Nà Hang,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Thu Tà,xã Trung Thịnh,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Minh Khương,xã Bạch Xa,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Tân Tiến,xã Tân Tiến,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Văn phòng BCH PCTT,phường Minh Xuân,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Tân Trịnh,xã Tân Trịnh,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Cao Bồ,xã Cao Bồ,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Sơn Phú,xã Hồng Thái,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Phú Bình,xã Kiên Đài,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Tiên Nguyên,xã Tiên Nguyên,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Tân Trào,xã Tân Trào,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Trung Hà,xã Trung Hà,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Trung Minh,xã Hùng Lợi,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Thuận Hòa PCTT,xã Thuận Hòa,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Bình An,xã Bình An,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Phúc Yên,xã Lâm Bình,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Bằng Cốc,xã Hàm Yên,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Thái Hòa,xã Thái Hòa,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Xuân Lập PCTT,xã Lâm Bình,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Minh Ngọc,xã Minh Ngọc,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Mỹ Bằng,phường Mỹ Lâm,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Bản Ngò PCTT,xã Pà Vầy Sủ,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Lao Chải PCTT,xã Lao Chải,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Kiến Thiết,xã Kiến Thiết,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Đà Vị,xã Hồng Thái,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Tân Thanh,xã Tân Thanh,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Thiện Kế,xã Sơn Thủy,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Khâu Tinh,xã Yên Hoa,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Đông Lợi,xã Trường Sinh,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Linh Phú,xã Tri Phú,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Thành Long,xã Thái Sơn,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Kiên Đài,xã Kiên Đài,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Hùng Mỹ,xã Tân Mỹ,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Nhữ Hán,xã Nhữ Khê,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Ninh Lai,xã Sơn Thủy,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Đội Bình,xã Nhữ Khê,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Quyết Tiến,xã Quản Bạ,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Thị trấn Cốc Pài,xã Pà Vầy Sủ,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Tam Đa,xã Phú Lương,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Sinh Long,xã Côn Lôn,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Phúc Sơn,xã Minh Quang,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Yên Thuận,xã Bạch Xa,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Phúc Ninh,xã Xuân Vân,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Du Già,xã Du Già,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Chi Thiết,xã Hồng Sơn,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Lao Chải,xã Lao Chải,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Tân Nam 1,xã Quang Bình,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Yên Phong,xã Bắc Mê,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Thượng Sơn 2,xã Thượng Sơn,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Tiên Nguyên 1,xã Tiên Nguyên,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Phú Nam 2,xã Đường Hồng,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Minh Quang,xã Minh Quang,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Yên Phú,xã Bắc Mê,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Tùng Bá 2,xã Tùng Bá,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Thanh Thủy,xã Thanh Thủy,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Tùng Bá 1,xã Tùng Bá,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Bạch Ngọc 2,xã Bạch Ngọc,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Du Già 2,xã Du Già,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Bản Ngò,xã Pà Vầy Sủ,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Yên Bình,xã Quang Bình,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Tân Nam 2,xã Quang Bình,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Minh Sơn 1,xã Minh Sơn,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Thàng Tín,xã Thàng Tín,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Yên Minh 1,xã Yên Minh,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Bản Phùng,xã Bản Máy,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Cao Bồ 1,xã Cao Bồ,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Bản Díu,xã Xín Mần,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Bản Ngần,xã Việt Lâm,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Thanh Đức,xã Lao Chải,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Đồng Tâm,xã Đồng Tâm,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Lũng Hồ 1,xã Đường Thượng,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Nậm Khòa,xã Hồ Thầu,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Yên Cường,xã Yên Cường,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Sơn Nam,xã Sơn Thủy,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Vĩnh Phúc,xã Đồng Yên,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Bản Nhùng,xã Tân Tiến,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Thuận Hòa,xã Thuận Hòa,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Nàng Đôn,xã Pờ Ly Ngài,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Mậu Long,xã Mậu Duệ,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Kim Quan,xã Tân Trào,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Tân Lập 2,xã Tân Quang,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Ngọc Long,xã Ngọc Long,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Ngam La 1,xã Mậu Duệ,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Chiến Phố,xã Bản Máy,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Phương Độ,phường Hà Giang 1,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Yên Định,xã Ngọc Đường,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Quảng Ngần,xã Việt Lâm,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Lạc Nông 1,xã Bắc Mê,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Minh Sơn 2,xã Minh Sơn,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Hồ Thầu 2,xã Hồ Thầu,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Thượng Sơn 1,xã Thượng Sơn,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Đông Hà 2,xã Lùng Tám,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Việt Vinh,xã Bắc Quang,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Giáp Trung,xã Giáp Trung,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Phú Nam 1,xã Đường Hồng,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Việt Lâm,xã Việt Lâm,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Quản Bạ,xã Quản Bạ,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Lăng Can 1,xã Lâm Bình,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Bạch Ngọc 1,xã Bạch Ngọc,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Yên Hoa,xã Yên Hoa,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Bản Péo,xã Nậm Dịch,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Cốc Rế,xã Trung Thịnh,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Chế Là,xã Nấm Dẩn,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Kỳ Lâm,xã Sơn Dương,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Thái An,xã Lùng Tám,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Cao Bồ 2,xã Cao Bồ,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Nấm Dẩn 2,xã Nấm Dẩn,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Linh Hồ,xã Linh Hồ,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Nậm Ban 2,xã Tát Ngà,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Xuân Giang 1,xã Xuân Giang,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Mèo Vạc,xã Mèo Vạc,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Nậm Dịch,xã Nậm Dịch,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Hồ Thầu 1,xã Hồ Thầu,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Bản Rịa,xã Yên Thành,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Nậm Ban 1,xã Tát Ngà,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Quảng Nguyên,xã Quảng Nguyên,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Đạo Viện 1,xã Trung Sơn,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Vĩ Thượng,xã Tiên Yên,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Xuân Lập,xã Lâm Bình,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Đông Hà 1,xã Lùng Tám,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Xuân Minh 1,xã Thông Nguyên,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Túng Sán,xã Tân Tiến,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Tuyên Quang,Trung Thành,xã Linh Hồ,0.0,Không mưa,2025-12-28 19:00:00,28/12/2025 01:19:50
Lào Cai,Mường Khương,xã Mường Khương,0.4,Mưa nhỏ,2025-12-28 19:00:00,28/12/2025 01:19:50
Lào Cai,Tả Van Chư,xã Lùng Phình,0.2,Mưa nhỏ,2025-12-28 19:00:00,28/12/2025 01:19:50
Lào Cai,La Pan Tẩn,xã Cao Sơn,0.2,Mưa nhỏ,2025-12-28 19:00:00,28/12/2025 01:19:50
Lào Cai,Bản Khoang,xã Ngũ Chỉ Sơn,0.2,Mưa nhỏ,2025-12-28 19:00:00,28/12/2025 01:19:50
Lào Cai,Nậm Có 1,xã Nậm Có,0.2,Mưa nhỏ,2025-12-28 19:00:00,28/12/2025 01:19:50
